Model,Accuracy,F-Score
Gradient Boosting,0.76,0.77
Light GBM,0.75,0.76
Extreme Gradient,0.73,0.74
Decision Tree,0.69,0.69
Logistic Regression,0.54,0.62
SGD,0.55,0.59
ANN,0.55,0.59
Naive Bayes,0.55,0.53
Random Forest,0.50,0.00
SVM,0.50,0.00
